id,KODE PROVINSI,NAMA PROVINSI,KODE KAB,NAMA KABUPATEN,DESA MANDIRI,DESA MAJU,DESA BERKEMBANG,DESA TERTINGGAL,DESA SANGAT TERTINGGAL,TIDAK MEMENUHI KRITERIA (tidak melakukan pengukuran berdasarkan,TOTAL DESA
58,15.0,JAMBI,1572.0,KOTA SUNGAI PENUH,64.0,1.0,0.0,0.0,0.0,0,65.0
59,15.0,JAMBI,1502.0,MERANGIN,66.0,95.0,42.0,2.0,0.0,0,205.0
60,15.0,JAMBI,1505.0,MUARO JAMBI,49.0,52.0,49.0,0.0,0.0,0,150.0
61,15.0,JAMBI,1503.0,SAROLANGUN,26.0,38.0,72.0,13.0,0.0,0,149.0
62,15.0,JAMBI,1506.0,TANJUNG JABUNG BARAT,14.0,28.0,72.0,0.0,0.0,0,114.0
63,15.0,JAMBI,1507.0,TANJUNG JABUNG TIMUR,6.0,21.0,37.0,9.0,0.0,0,73.0
64,15.0,JAMBI,1509.0,TEBO,20.0,54.0,48.0,0.0,0.0,0,122.0
65,32.0,JAWA BARAT,3204.0,BANDUNG,186.0,82.0,2.0,0.0,0.0,0,270.0
66,32.0,JAWA BARAT,3217.0,BANDUNG BARAT,100.0,65.0,0.0,0.0,0.0,0,165.0
67,32.0,JAWA BARAT,3216.0,BEKASI,84.0,61.0,34.0,0.0,0.0,0,179.0
68,32.0,JAWA BARAT,3201.0,BOGOR,171.0,223.0,22.0,0.0,0.0,0,416.0
69,32.0,JAWA BARAT,3207.0,CIAMIS,210.0,48.0,0.0,0.0,0.0,0,258.0
70,32.0,JAWA BARAT,3203.0,CIANJUR,80.0,181.0,93.0,0.0,0.0,0,354.0
71,32.0,JAWA BARAT,3209.0,CIREBON,160.0,232.0,20.0,0.0,0.0,0,412.0
72,32.0,JAWA BARAT,3205.0,GARUT,152.0,177.0,92.0,0.0,0.0,0,421.0
73,32.0,JAWA BARAT,3212.0,INDRAMAYU,107.0,189.0,13.0,0.0,0.0,0,309.0
74,32.0,JAWA BARAT,3215.0,KARAWANG,84.0,141.0,72.0,0.0,0.0,0,297.0
75,32.0,JAWA BARAT,3279.0,KOTA BANJAR,16.0,0.0,0.0,0.0,0.0,0,16.0
76,32.0,JAWA BARAT,3208.0,KUNINGAN,134.0,215.0,12.0,0.0,0.0,0,361.0
77,32.0,JAWA BARAT,3210.0,MAJALENGKA,176.0,148.0,6.0,0.0,0.0,0,330.0
78,32.0,JAWA BARAT,3218.0,PANGANDARAN,93.0,0.0,0.0,0.0,0.0,0,93.0
79,32.0,JAWA BARAT,3214.0,PURWAKARTA,86.0,94.0,3.0,0.0,0.0,0,183.0
80,32.0,JAWA BARAT,3213.0,SUBANG,99.0,122.0,24.0,0.0,0.0,0,245.0
81,32.0,JAWA BARAT,3202.0,SUKABUMI,157.0,169.0,55.0,0.0,0.0,0,381.0
82,32.0,JAWA BARAT,3211.0,SUMEDANG,270.0,0.0,0.0,0.0,0.0,0,270.0
83,32.0,JAWA BARAT,3206.0,TASIKMALAYA,83.0,208.0,60.0,0.0,0.0,0,351.0
84,33.0,JAWA TENGAH,3304.0,BANJARNEGARA,13.0,87.0,166.0,0.0,0.0,0,266.0
85,33.0,JAWA TENGAH,3302.0,BANYUMAS,67.0,137.0,97.0,0.0,0.0,0,301.0
86,33.0,JAWA TENGAH,3325.0,BATANG,6.0,99.0,134.0,0.0,0.0,0,239.0
87,33.0,JAWA TENGAH,3316.0,BLORA,15.0,91.0,165.0,0.0,0.0,0,271.0
88,33.0,JAWA TENGAH,3309.0,BOYOLALI,64.0,156.0,41.0,0.0,0.0,0,261.0
89,33.0,JAWA TENGAH,3329.0,BREBES,25.0,94.0,173.0,0.0,0.0,0,292.0
90,33.0,JAWA TENGAH,3301.0,CILACAP,79.0,133.0,57.0,0.0,0.0,0,269.0
91,33.0,JAWA TENGAH,3321.0,DEMAK,45.0,126.0,69.0,3.0,0.0,0,243.0
92,33.0,JAWA TENGAH,3315.0,GROBOGAN,47.0,158.0,68.0,0.0,0.0,0,273.0
93,33.0,JAWA TENGAH,3320.0,JEPARA,49.0,89.0,46.0,0.0,0.0,0,184.0
94,33.0,JAWA TENGAH,3313.0,KARANGANYAR,24.0,76.0,62.0,0.0,0.0,0,162.0
